
************************************************************
01月01日

1085年1月1日 《资治通鉴》编成
1891年4月23日 苏联作曲家普罗科菲耶夫诞辰
1902年4月23日 冰岛小说家拉克斯内斯诞辰
1928年4月23日 超级童星秀兰・邓波儿出生
1949年4月23日 中共海军诞生
1956年4月23日 第一种国产喷气式歼击机试制成功
1949年4月23日 人民解放军突破千里江防　毛泽东赋诗追穷寇
1969年4月23日 电影艺术家郑君里受迫害致死
1970年4月23日 我国著名女新闻工作者浦熙修逝世
1975年4月23日 南越内阁辞职，美国总统宣布越南战争结束
1975年4月23日 锡金被并入印度
1979年4月23日 王守信贪污巨款案被破获
1977年4月23日 北海油井爆炸　海洋遭受污染
1564年4月23日 莎士比亚诞辰
1999年4月23日 北约纪念成立50周年  确立联盟新战略

************************************************************
04月24日

1192年4月24日 卢沟桥建成
1792年4月24日 里勒创作《马赛曲》
1800年4月24日 美国国会图书馆成立
1931年4月24日 顾顺章叛变，中共中央机关险遭破坏
1950年4月24日 外约旦改名为约旦
1972年4月24日 《人民日报》发表社论《惩前毖后，治病救人》
1980年4月24日 美国营救在伊朗的人质失败
1986年4月24日 温莎公爵夫人去世
1991年4月24日 我停止对金门等岛屿国民党军官兵广播喊话
1945年4月24日 毛泽东作《论联合政府》报告
1993年4月24日 南非非国大全国主席坦博去世
1994年4月24日 南非大选前发生严重爆炸事件
1995年4月24日 孔繁森被追认为全国先进工作者
1995年4月24日 我国卫星数字广播开播
1997年4月24日 著名画家黄胄逝世
1999年4月24日 中国企业联合会组建
1970年4月24日 我国第一颗人造地球卫星上天
1997年4月24日 中俄哈吉塔五国边境裁军协定签署
2003年4月24日 全国防治非典型肺炎指挥部在京成立

************************************************************
04月25日

1886年4月25日 中法签订越南边界通商章程
1925年4月25日 兴登堡当选德国总统
1644年4月25日 明朝末代皇帝崇祯自缢
1926年4月25日 礼萨・汗自立为波斯国王
1927年4月25日 萧楚女被捕牺牲
1932年4月25日 金日成创建抗日武装
1935年4月25日 “政治顽童”李敖诞辰
1936年4月25日 中国共产党提议建立抗日人民阵线
1953年4月25日 科学家指出脱氧核糖核酸是双螺旋结构
1949年4月25日 毛泽东、朱德发布人民解放军约法八章
1956年4月25日 毛泽东作《论十大关系》报告
1989年4月25日 日本内阁总理大臣竹下登因贿赂案丑闻辞职
1997年4月25日 中国向联合国递交《禁止化学武器公约》批准书
2001年4月25日 国家天文台在京成立
2002年4月25日 我国发现世界最早有胎盘类哺乳动物化石
1945年4月25日 我国参加联合国成立大会
1961年4月25日 我国与老挝建交

************************************************************
04月26日

1731年4月26日 笛福逝世
1861年4月26日 詹天佑诞辰
1911年4月26日 清华大学建校
1913年4月26日 袁世凯善后大借款
1926年4月26日 邵飘萍被杀害
1937年4月26日 宋庆龄等发起营救七君子行动
1940年4月26日 汪伪国民政府举行“还都”典礼
1937年4月26日 宋庆龄等发起营救七君子行动
1960年4月26日 韩国总统李承晚下台
1947年4月26日 南京大屠杀首恶谷寿夫被处决
1971年4月26日 宋子文病逝
1975年4月26日 胡志明战役开始
1964年4月26日 我国与坦桑尼亚建交
1996年4月26日 以色列和黎巴嫩达成停火协议
1982年4月26日 政协副主席沙千里逝世
1917年4月26日 贝聿铭诞辰
1991年4月26日 马拉多纳因携带毒品被捕
1986年4月26日 切尔诺贝利核电站爆炸

************************************************************
04月27日

1993年4月27日 “汪辜会谈”在新加坡举行
1995年4月27日 中共中央批准陈希同引咎辞职
1998年4月27日 国家进行粮食流通体制改革工作
1902年4月27日 中国教育会在上海成立
1521年4月27日 航海家麦哲伦被杀
1957年4月27日 中共中央号召开展整风运动
1903年4月27日 上海开展拒俄运动
1911年4月27日 同盟会在广州举行武装起义
1927年4月27日 中共“五大”开幕
1937年4月27日 意大利共产党创始人葛兰西逝世
1941年4月27日 希腊军队向轴心国投降
1951年4月27日 中国青年报创刊
1957年4月27日 马寅初发表人口问题的演讲
1791年4月27日 美国电报发明者莫尔斯诞辰
1978年4月27日 文革后第一个来访的外国交响乐团在京演出
1961年4月27日 中国远洋运输总公司成立
1992年4月27日 南斯拉夫社会主义联邦共和国彻底解体

************************************************************
04月28日

1758年4月28日 美国第五任总统门罗诞辰
1897年4月28日 叶剑英诞辰
1928年4月28日 井冈山会师
1936年4月28日 16岁的法鲁克继承埃及王位
1956年4月28日 毛泽东提出科学、文艺都要百花齐放、百家争鸣
1968年4月28日 蔡廷锴逝世
1984年4月28日 邓小平会见里根
1922年4月28日 直奉战争爆发
1985年4月28日 作家张天翼逝世
1989年4月28日 世界篮球大赛向职业球员开放
2003年4月28日 中国银监会正式挂牌
1927年4月28日 李大钊就义
1906年4月28日 革命党与改良派大论战
1945年4月28日 墨索里尼被处决

************************************************************
04月29日

1903年4月29日 留日学生组织“拒俄运动”
1921年4月29日 协约国伦敦会议召开
1922年4月29日 第一次直奉战争爆发
1931年4月29日 恽代英被害
1954年4月29日 “和平共处五项原则”问世
1932年4月29日 日本侵华军总司令被炸毙命
1971年4月29日 李四光逝世
1986年4月29日 “运七”飞机投入客运
2001年4月29日 石家庄“3・16”特大爆炸案终审宣判
2003年4月29日 河北省原常务副省长丛福奎因受贿被判处死缓
2003年4月29日 清华北大爆炸案作案人黄翔被判无期徒刑
1936年4月29日 世界著名指挥家祖宾・梅塔诞辰
1992年4月29日 美国爆发大规模种族冲突
1980年4月29日 电影大师希区柯克逝世
1997年4月29日 禁止化学武器公约生效

************************************************************
04月30日

1777年4月30日 德国数学家高斯诞辰
1872年4月30日 《申报》创刊
1896年4月30日 李鸿章出使俄国
1919年4月30日 巴黎和会决定将德国在山东的权益转给日本
1909年4月30日 荷兰女王朱丽安娜诞辰
1904年4月30日 任弼时诞辰
1925年4月30日 装饰艺术在巴黎诞生
1967年4月30日 阿里不服兵役失去拳王桂冠
1975年4月30日 胡志明战役
1978年4月30日 阿富汗总统在流血政变中被击毙
1980年4月30日 荷兰女王比娅特丽克丝登基
1984年4月30日 华罗庚被授予美国全国科学院外籍院士称号
1999年4月30日 中国’99昆明世界园艺博览会开幕
1981年4月30日 中国国民党革命委员会主席朱蕴山逝世
1962年4月30日 中共中央批转“文艺八条”
1945年4月30日 战争狂人――希特勒自杀

************************************************************
04月31日


************************************************************
05月01日

1773年5月1日 清朝开设《四库全书》编纂馆
1886年5月1日 芝加哥工人大罢工――“五一节”的由来
1903年5月1日 法国画家高更逝世
1913年5月1日 万人大会声讨袁世凯
1914年5月1日 袁世凯公布《中华民国约法》
1917年5月1日 刘半农论新文学革命
1919年5月1日 中方代表抗议巴黎会议割山东权利与日本
1922年5月1日 第一次全国劳动大会召开
1924年5月1日 孙中山号召工人团结起来
1927年5月1日 广东海丰、陆丰农民起义
1928年5月1日 向警予就义
1931年5月1日 纽约帝国大厦剪彩
1935年5月1日 红军抢渡金沙江
1945年5月1日 纳粹战犯戈培尔自杀身亡
1948年5月1日 毛泽东提议召开新政协会议得到各界响应
1950年5月1日 解放军解放海南岛
1950年5月1日 我国与丹麦建交
1957年5月1日 戚烈云破游泳世界纪录（是我国第一位打破游泳世界纪录的运动员）
1950年5月1日 中央号召开展大规模整风运动
1961年5月1日 古巴领导人卡斯特罗废除选举制
1980年5月1日 中国第一家合资企业正式营业
1991年5月1日 台湾终止“动员戡乱时期”　废除“动员戡乱时期临时条款”
1993年5月1日 斯里兰卡总统普雷马达萨遇害
1993年5月1日 法国前总理贝雷戈瓦自杀身亡
1995年5月1日 联合国决定1995年为国际宽容年
1995年5月1日 南非前总统曼德拉“五一”遇险
1997年5月1日 虎门大桥通车
1995年5月1日 “亚洲第一塔”落成　东方明珠广播电视塔发射开播
1985年5月1日 中国海陆空统一换着新制式服装
1904年5月1日 捷克作曲家德沃夏克逝世
1963年5月1日 我国第一艘远洋货轮“跃进号”沉没

************************************************************
05月02日

1519年5月2日 达・芬奇逝世
1895年5月2日 康有为等1300多人联名上书　要求清政府拒绝《马关条约》
1904年5月2日 美国爵士音乐的代表平・克劳斯贝出生
1933年5月2日 希特勒解散所有工会
1945年5月2日 苏联红军攻克柏林
1953年5月2日 约旦国王侯赛因正式登基
1957年5月2日 美国争议人物麦卡锡逝世
1980年5月2日 我国绵羊冷冻胚胎移植成功
1982年5月2日 阿根廷“贝尔格拉诺将军”号巡洋舰被击沉
1983年5月2日 美国加利福尼亚州发生６．５级地震
1990年5月2日 作曲家施光南逝世
1991年5月2日 吴运铎逝世
1991年5月2日 彭德怀的夫人浦安修逝世
1993年5月2日 “向阳红十六”号考察船与外轮相撞沉没
1994年5月2日 中国首次清查洋垃圾
1996年5月2日 杀害李沛瑶的凶手张金龙被判处死刑
1997年5月2日 布莱尔成为英国1812年以来最年轻首相
2003年5月2日 江泽民发唁电哀悼海军361号潜艇官兵
1937年5月2日 中共中央召开全国代表会议
1918年5月2日 诗僧苏曼殊早逝
1842年5月2日 英国宪章运动爆发

************************************************************
05月03日

1875年5月3日 清政府任命左宗棠督办新疆军务
1901年5月3日 清政府向列强赔款四亿五千万两
1923年5月3日 美国空军的奥克利・凯利和麦克里迪中尉完成人类首次不停顿横贯大陆飞行
1928年5月3日 日本制造“济南惨案”
1938年5月3日 冀中根据地形成
1980年5月3日 日本健儿分两路登上珠穆朗玛峰
1946年5月3日 远东国际军事法庭开庭审判战犯
1979年5月3日 撒切尔夫人成为第一个英国女首相
1989年5月3日 台湾开放教职员工赴大陆探亲
1994年5月3日 世界首创转基因水稻在安徽合肥市问世
1998年5月3日 卢浮宫名画再次被盗
1926年5月3日 第六届广州农讲所开学
1926年5月3日 英国工人总罢工
1986年5月3日 王锡爵驾机回大陆定居

************************************************************
05月04日

1814年5月4日 拿破伦被放逐厄尔巴岛<br>
1928年5月4日 中国工农红军第四军成立
1939年5月4日 毛泽东为青年运动指出方向
1945年5月4日 中华全国文艺界抗敌协会举行第一次文艺节
1946年5月4日 中共中央发出《关于土地问题的指示》
1953年5月4日 海明威《老人与海》获普利策奖
1978年5月4日 《中国青年》杂志、《中国青年报》复刊
1989年5月4日 美正式裁决“伊朗门”事件的核心人物诺思刑事罪成立
1980年5月4日 南斯拉夫总统铁托病逝
1989年5月4日 长江油驳爆炸原因查明
1991年5月4日 百岁老画家朱屺瞻入党
1994年5月4日 巴以签署加沙――杰里科自治原则宣言
1996年5月4日 “联系非洲”会议发表《约翰内斯堡宣言》
1998年5月4日 北京大学喜庆百年华诞
1928年5月4日 埃及总统穆巴拉克诞辰
1919年5月4日 “五・四”运动爆发
1918年5月4日 孙中山辞去大元帅职
1929年5月4日 著名女演员奥黛丽・赫本诞辰

************************************************************
05月05日

1818年5月5日 马克思诞辰
1898年5月5日 张之洞发表《劝学篇》
1905年5月5日 俄太平洋舰队在对马海峡覆没
1821年5月5日 拿破仑病逝于圣赫勒拿岛
1922年5月5日 中国社会主义青年团第一次代表大会召开
1924年5月5日 黄埔军校正式开学
1929年5月5日 粤桂战争爆发
1931年5月5日 中日签订《淞沪停战协定》
1936年5月5日 中共中央通电：停战议和一致抗日
1945年5月5日 国民党决心反共到底
1946年5月5日 重庆临时政府还都南京
1949年5月5日 欧洲委员会宣告成立
1983年5月5日 卓长仁劫机
1983年5月5日 国务院批准设立酉阳土家族苗族自治县和秀山土家族苗族自治县
1988年5月5日 中日尼联合登山队双跨珠峰成功
1955年5月5日 战后重新武装西德的巴黎协定生效
1992年5月5日 法国足球史上最严重的惨案   造成700多人伤亡
1996年5月5日 诗人艾青逝世
1997年5月5日 我国第一台医用机器人主刀手术台
1992年5月5日 我国九位专家新当选世界生产率科学院院士
1997年5月5日 法国女探险家克里斯蒂娜・贾楠抵达北极
1998年5月5日 隐姓埋名５０载　纳粹战犯沙基克被引渡回国
1921年5月5日 孙中山大总统宣誓就职
1911年5月5日 孙中山成立“革命公司”

************************************************************
05月06日

1840年5月6日 世界上第一批邮票的诞生
1758年5月6日 罗伯斯庇尔诞辰
1910年5月6日 英国国王爱德华七世逝世
1934年5月6日 中共中央批评肃反扩大化
1937年5月6日 “兴登堡”号被焚毁
1939年5月6日 汪精卫通电投敌
1950年5月6日 艾格妮丝・史沫特莱逝世
1971年5月6日 我国与圣马力诺建立领事级外交关系
1987年5月6日 大兴安岭发生特大火灾
1987年5月6日 我国十大传统名花评出　梅花荣居万花之首
1988年5月6日 贵州发生特大瓦斯爆炸事故
1998年5月6日 奔驰汽车公司与克莱斯勒公司合并
1988年5月6日 我渔船被美国“门罗总统”号货轮撞沉　１７名船员遇难
1994年5月6日 英法海底隧道通车
2003年5月6日 国家发展和改革委员会正式挂牌
1974年5月6日 德国总理勃兰特辞职
1953年5月6日 英国首相布莱尔诞辰

************************************************************
05月07日

1937年5月7日 毛泽东、刘少奇作报告为实现抗日民族统一战线而努力
1945年5月7日 德国无条件投降
1948年5月7日 欧洲统一运动首届大会开幕
1952年5月7日 中国抗议美国残杀战俘
1949年5月7日 “永不消逝的电波”的主人李白牺牲
1960年5月7日 中央大刀阔斧调整国民经济
1961年5月7日 毛泽东批转周恩来关于农村政策问题的调查报告
1967年5月7日 周作人病逝
1973年5月7日 《华盛顿邮报》因披露水门事件而钦誉全国
1978年5月7日 苏联英雄卓娅和舒拉的母亲逝世
1984年5月7日 国务院发布《居民身份证试行条例》
1990年5月7日 中苏美和平登山队登上珠穆朗玛峰
1981年5月7日 国民党高级将领杜聿明逝世
1997年5月7日 光明工程开始实施
2000年5月7日 普京就任俄总统
2002年5月7日 北方航空公司一客机在大连湾海域坠毁 112人遇难
1840年5月7日 俄国作曲家柴可夫斯基诞辰
1990年5月7日 苏公布卫国战争中军民损失数字
1861年5月7日 印度诗人泰戈尔诞辰

************************************************************
05月08日

1753年5月8日 “墨西哥独立之父”伊达尔哥诞辰
1884年5月8日 《点石斋画报》在上海创刊
1936年5月8日 持没落观点的预言家施本格勒去世
1942年5月8日 日本自珍珠港事件后首次遭受重大打击
1975年5月8日 中国同欧洲经济共同体建立正式关系
1975年5月8日 中共召开全国钢铁工业座谈会
1984年5月8日 苏联宣布抵制洛杉矶奥运会
1987年5月8日 日本记者边见秀逸被限期离境
1988年5月8日 密特朗连任法国总统
1995年5月8日 邓丽君猝逝于泰国清迈
1995年5月8日 一代美术宗师叶浅予逝世
1952年5月8日 珠穆朗玛峰正名
1998年5月8日 全国最大的国有零售书店――北京图书大厦开门纳客
2002年5月8日 日本驻沈阳总领馆发生闯馆事件  日方“调查结果”不符合事实
1916年5月8日 护国军军务院成立
1945年5月8日 德国签署无条件投降书
1999年5月8日 北约野蛮轰炸我驻南使馆
1884年5月8日 美国第３３任总统杜鲁门诞辰

************************************************************
05月09日

1809年5月9日 德国诗人席勒逝世
1800年5月9日 美国废奴主义领袖布朗诞辰
1880年5月9日 加拿大著名报人布朗被杀
1904年5月9日 非洲大陆探险家亨利逝世
1915年5月9日 袁世凯承认“二十一条”
1919年5月9日 蔡元培辞去北京大学校长职务
1945年5月9日 战胜国法西斯纪念日
1950年5月9日 我国与瑞典建交
1961年5月9日 朱德上书力陈公共食堂弊端
1948年5月9日 新中国中央政府的雏形形成
1983年5月9日 我国加入《南极条约》
1987年5月9日 “江南名丑”王传淞逝世
1993年5月9日 江泽民要求解决深层次经济问题
2003年5月9日 云南省原省长李嘉廷被判死缓
1995年5月9日 江泽民参加反法西斯战争胜利５０周年庆典活动
1996年5月9日 我国研制成首台国产回旋加速器
1932年5月9日 中共痛斥停战协定
2003年5月9日 国务院公布施行《突发公共卫生事件应急条例》
1900年5月9日 义和团深入京城清廷频令严禁
1997年5月9日 江泽民接受美国有线新闻采访　畅谈中美关系及台港问题
1911年5月9日 清政府宣布铁路国有　盛宣怀接受四国贷款

************************************************************
05月10日

1889年5月10日 俄国作家谢德林逝世
1899年5月10日 国画大师张大千诞辰
1933年5月10日 纳粹焚烧禁书
1940年5月10日 丘吉尔临危受命出任英国首相
1948年5月10日 南朝鲜单独进行选举
1949年5月10日 德国被分裂为东西两部分
1953年5月10日 上海大亨黄金荣病死
1972年5月10日 世界卫生大会通过恢复我国合法席位的决议
1978年5月10日 《实践是检验真理的唯一标准》发表
1981年5月10日 密特朗成为法国第一个社会党人总统
1979年5月10日 著名电影艺术家舒绣文追悼会举行
1982年5月10日 著名经济学家马寅初逝世
1984年5月10日 国务院进一步扩大国营工业企业自主权
1985年5月10日 中国成为非洲开发银行集团非非洲地区成员国
1986年5月10日 邓小平谈两个“翻番”
1988年5月10日 沈从文逝世
1994年5月10日 曼德拉宣誓就任南非新总统
1997年5月10日 伊朗东北部发生７．１级地震
1917年5月10日 一代京师“伶王”谭鑫培病逝
1905年5月10日 上海工商界反对续订“美约”
1901年5月10日 秦力山等创办《国民报》杂志

************************************************************
05月11日

1860年5月11日 世界史上著名的“千人军”开始远征
1864年5月11日 爱尔兰女作家伏尼契诞辰
1939年5月11日 《黄河大合唱》首次演唱
1949年5月11日 联合国大会投票同意以色列加入联合国
1950年5月11日 我国与丹麦建交
1957年5月11日 我国政府发表声明谴责美国导弹部队进驻台湾
1905年5月11日 音乐家冼星海诞辰
1964年5月11日 3倍音速的B・70轰炸机首航
1987年5月11日 世界上活得最长的换心者去世
1998年5月11日 中西亚经合组织首脑会议举行　会议通过阿拉木图宣言
1998年5月11日 韩起亚经营不善倒闭　董事长贪污渎职被捕
1998年5月11日 １５国集团首脑会议举行　穆巴拉克呼吁加强协作
1986年5月11日 “一代词宗”夏承焘教授逝世
1998年5月11日 印度进行三次地下核试验　遭世界各国反对
1997年5月11日 国际象棋世界冠军卡斯帕罗夫与“深蓝”的较量

************************************************************
05月12日

1902年5月12日 伊朗伊斯兰共和国最高领袖霍梅尼诞辰
1909年5月12日 著名影星凯瑟琳・赫本出生于美国
1939年5月12日 诺门坎事件发生
1943年5月12日 北非战争结束
1949年5月12日 柏林封锁解除
1949年5月12日 解放军发动上海战役
1956年5月12日 国务院调整组织机构
1979年5月12日 中央批准撤销“五・一二”对体育系统的命令
1989年5月12日 埃总统令全体官员自己掏腰包装汽车电话
1991年5月12日 联合国发表报告　全世界３０００万儿童无家可归
1991年5月12日 上海静安古寺恢复原貌
1991年5月12日 中共中央国务院作出决定加强计划生育
1992年5月12日 我国与斯洛文尼亚建交
1993年5月12日 河姆渡遗址博物馆开放
1997年5月12日 东方红三号通信卫星发射升空
2003年5月12日 利雅得发生3起爆炸造成213人伤亡
1999年5月12日 斯捷帕申当选俄罗斯代总理

************************************************************
05月13日

1840年5月13日 法国作家都德诞辰
1947年5月13日 孟良崮战役开始
1954年5月13日 官厅水库建成
1956年5月13日 苏联著名作家法捷耶夫逝世
1984年5月13日 苏联库存导弹大爆炸
1996年5月13日 我代表在联合国呼吁建立公正合理世界新闻秩序
1992年5月13日 我国与克罗地亚建交
1990年5月13日 南斯拉夫足球赛发生大规模殴斗
1997年5月13日 世界卫生大会反对在互联网上促销药品
1997年5月13日 英“千年大厦”高度引起争论
1998年5月13日 十五国集团首脑会议呼吁加强南南合作
1998年5月13日 大兴安岭阿尔山发生森林大火
1998年5月13日 印尼发生有组织地迫害华人、强奸华人妇女的事件
1981年5月13日 教皇在圣彼得大教堂被刺客击伤
2003年5月13日 淮北芦岭煤矿发生特大瓦斯爆炸事故  86人遇难

************************************************************
05月14日

1911年5月14日 长沙万人集会掀起保路运动
1937年5月14日 东北军被整编
1948年5月14日 以色列正式宣布成立
1953年5月14日 我国第一个五年计划开始实施
1955年5月14日 华沙条约组织建立
1964年5月14日 焦裕禄逝世
1984年5月14日 中国女子羽毛球队首获尤伯杯
1987年5月14日 斐济发生政变
1988年5月14日 庄希泉逝世
1984年5月14日 著名医学家医学教育家黄家驷逝世
1990年5月14日 法国发生卡庞特拉事件
1973年5月14日 美国发射天空实验室
1991年5月14日 江青自杀
2000年5月14日 日本前首相小渊惠三病逝
1992年5月14日 聂荣臻逝世
1994年5月14日 纪念焦裕禄逝世３０周年大会举行
1918年5月14日 日本首相田中角荣诞辰

************************************************************
05月15日

1904年5月15日 中国红十字会创立
1911年5月15日 美最高法院裁定美孚石油公司解散
1919年5月15日 土耳其爱国记者哈桑・塔赫辛逝世
1926年5月15日 整理党务案事件发生
1936年5月15日 舒施尼格成为奥地利唯一政党的首脑
1943年5月15日 共产国际宣布解散，中共中央表态欢迎
1918年5月15日 鲁迅发表小说《狂人日记》
1912年5月15日 京师大学堂改称北京大学
1955年5月15日 奥地利国家条约结束了外国控制
1960年5月15日 中央指示：在农村开展“三反”运动
1957年5月15日 百万干部下放基层
1967年5月15日 我国政府强烈抗议香港英国当局对香港居民的暴行
1972年5月15日 美国将冲绳归还日本
1991年5月15日 法国第一位女总理克勒松夫人就任
1999年5月15日 何厚铧当选澳门特区首任行政长官
1991年5月15日 江泽民访问苏联
1989年5月15日 戈尔巴乔夫访华　中苏两国关系实现了正常化
1937年5月15日 美国第一位女国务卿奥尔布赖特诞辰
1998年5月15日 八国集团首脑会议开幕

************************************************************
05月16日

1787年5月16日 德国物理学家欧姆诞辰
1880年5月16日 匈牙利总工人党建立
1905年5月16日 亨利・方达出生于美国
1929年5月16日 好莱坞首次颁奖
1940年5月16日 抗日爱国将领张自忠牺牲
1941年5月16日 《解放日报》创刊
1943年5月16日 华沙犹太人区被毁灭
1947年5月16日 鲁南沂蒙山区孟良崮战役取得胜利
1950年5月16日 全军参谋会议决定裁军140万
1958年5月16日 “大跃进”运动全面展开
1966年5月16日 中共政治局扩大会议通过“五、一六通知”
1974年5月16日 西德总理勃兰特因间谍丑闻下台
1989年5月16日 中苏关系实现正常化
1995年5月16日 单引擎螺旋桨飞机降落高速公路
1997年5月16日 美国提高我国的信用等级
1975年5月16日 日本妇女首次登上珠峰
2002年5月16日 中国电信、中国网通正式成立

************************************************************
05月17日

1606年5月17日 俄国历史上的冒名皇帝被处死
1749年5月17日 牛痘接种创始人琴纳诞辰
1938年5月17日 曹锟病死
1954年5月17日 美国最高法院宣布废除黑白分校制
1969年5月17日 第一个世界电信日
1975年5月17日 法国一箭双星试验成功
1980年5月17日 美国迈阿密爆发黑人抗暴运动  造成16人死亡  400人受伤
1987年5月17日 我国第一艘极地考察船返抵青岛
1990年5月17日 我国大规模性文明调查获得成功
1995年5月17日 波音777正式投入运营
1984年5月17日 教育家成仿吾逝世
1995年5月17日 希拉克入主爱丽舍宫
1997年5月17日 美科学家初步揭示生物钟作用机制之谜
1980年5月17日 刘少奇同志追悼大会隆重举行

************************************************************
05月18日

1872年5月18日 英国著名逻辑学家罗素诞辰
1895年5月18日 通俗小说家张恨水诞辰
1916年5月18日 陈其美遇刺身亡
1966年5月18日 邓拓逝世
1970年5月18日 肯特州立大学枪击事件震惊全国
1911年5月18日 音乐家古斯塔夫・马勒逝世
1953年5月18日 妇女第一次驾机突破音速
1974年5月18日 中央发出批林批孔的几个政策问题的通知
1983年5月18日 我国海军远航航海实习船队启航
1980年5月18日 我国第一枚运载火箭发射成功
1990年5月18日 命名“吴健雄星”
1997年5月18日 北京至九龙直通客车开行
1999年5月18日 毒杀白天鹅罪犯被判刑
1990年5月18日 苏联首例颅骨连体儿分离成功

************************************************************
05月19日

1881年5月19日 土耳其共和国奠基人凯末尔诞辰
1883年5月19日 纸桥战役
1895年5月19日 古巴杰出的民族英雄何塞・马蒂逝世
1938年5月19日 中国空军远征日本本土
1962年5月19日 教育部确定进一步调整教育事业和精减教职工
1975年5月19日 全国著名的劳动模范时传祥含冤去世
1980年5月19日 圣海伦斯火山爆发
1985年5月19日 北京工人体育场发生“球迷骚乱”
1990年5月19日 《外商投资开发经营成片土地暂行管理办法》颁布
1994年5月19日 杰奎琳・肯尼迪・奥纳希斯辞世
1995年5月19日 驻韩美军屡犯案激起韩国民愤
1996年5月19日 世界卫生组织报告　全球１７００万人死于传染病
1890年5月19日 越南劳动党领导人胡志明诞辰

************************************************************
05月20日

1908年5月20日 影星詹姆斯・史都华出生
1931年5月20日 周逸群遭伏击牺牲
1951年5月20日 电影《武训传》受到批判
1963年5月20日 中共中央印发了《关于目前农村工作中若干问题的决定》
1970年5月20日 毛泽东发表反美声明
1973年5月20日 中共中央开会讨论了批林整风问题
1947年5月20日 “五・二○”血案
1980年5月20日 魁北克省公民投票反对脱离加拿大
1987年5月20日 中国音乐家马思聪在美国病逝
1990年5月20日 李登辉在台北发表“总统”就职演说
1991年5月20日 安理会通过伊拉克赔偿科威特损失的决议
2002年5月20日 东帝汶民主共和国正式成立
1941年5月20日 中共中央华中局组成
1799年5月20日 法国著名作家巴尔扎克诞辰
1506年5月20日 哥伦布逝世

************************************************************
05月21日

1086年5月21日 王安石逝世
1920年5月21日 墨西哥首任总统卡兰萨逝世
1927年5月21日 世界航空史上的著名人物林白驾机飞跃大西洋
1927年5月21日 “马日事变”发生
1972年5月21日 米开朗琪罗名作《圣母怜子》像被毁
1984年5月21日 世界第一台光纤录像电话开始使用
1986年5月21日 我国电子计算机高级显示处理系统通过鉴定
1991年5月21日 印度前总理拉吉夫・甘地遇刺身亡
1992年5月21日 法德两国决定共同组建法德军团
1998年5月21日 印尼总统苏哈托宣布辞职
2003年5月21日 阿尔及利亚发生地震    死亡人数逾700
2000年5月21日 赵朴初逝世
1951年5月21日 我国与巴基斯坦建交
1992年5月21日 上海股票交易市场股价全部放开

************************************************************
05月22日

1813年5月22日 德国作曲家瓦格纳诞辰
1859年5月22日 福尔摩斯的创造者柯南道尔诞辰
1900年5月22日 李富春诞辰
1907年5月22日 黄冈起义爆发
1907年5月22日 劳伦斯・奥立佛诞生于英国
1933年5月22日 陈景润诞辰
1962年5月22日 首届电影“百花奖”授奖仪式举行
1965年5月22日 全国人大常委会决定取消军衔制
1990年5月22日 南北也门统一
1992年5月22日 邓小平视察首钢
1995年5月22日 俄罗斯萨哈林岛北部发生强烈地震
1935年5月22日 红军顺利通过彝民区
1885年5月22日 法国作家雨果逝世

************************************************************
05月23日

1828年5月23日 挪威戏剧家易卜生逝世
1915年5月23日 意大利退出三国同盟以后与奥地利开战
1917年5月23日 黎元洪免去段祺瑞的国务总理职务
1937年5月23日 洛克菲勒病逝
1949年5月23日 德意志联邦共和国建立
1960年5月23日 阎锡山病死
1967年5月23日 “革命样板戏”开始推行
1949年5月23日 毛泽东部署向全国进军
1985年5月23日 中央禁止领导干部子女、配偶经商
1985年5月23日 中央军委扩大会议召开　重点讨论军队体制改革等问题
1990年5月23日 首届世界杯乒乓球团体赛落幕
1992年5月23日 “绿色新闻”会议通过《贝洛奥里藏特宣言》
1994年5月23日 世界减灾大会通过行动计划
1951年5月23日 西藏和平解放

************************************************************
05月24日

1500年5月24日 葡萄牙航海家迪亚士逝世
1543年5月24日 哥白尼不朽著作《天体运行》出版
1844年5月24日 美国发明家莫尔斯试验成功世界上第一份电报
1893年5月24日 九三学社发起人王卓然诞辰
1905年5月24日 《静静的顿河》作者肖洛霍夫诞辰
1923年5月24日 共产国际指示中共重视土地革命
1993年5月24日 《霸王别姬》获戛纳电影节“金棕榈奖”
1994年5月24日 法国总理称法有恢复核试验自由
1994年5月24日 纽约世贸中心爆炸案罪犯被判处240年监禁
1997年5月24日 北京首批国耻纪念地标志碑揭幕
2002年5月24日 习仲勋同志逝世
1935年5月24日 红军强渡大渡河
1993年5月24日 我国与厄立特里亚建交

************************************************************
05月25日

1918年5月25日 首批美国军用飞机在法参战
1928年5月25日 中共决定将工农革命军定名“红军”
1941年5月25日 毛泽东著文《揭破远东慕尼黑的阴谋》
1942年5月25日 左权将军牺牲
1960年5月25日 我国登山队从北坡征服珠穆朗玛峰
1961年5月25日 美国首次载人宇宙飞行成功
1963年5月25日 非洲统一组织成立
1978年5月25日 我国与阿曼苏丹国建交
1979年5月25日 美国发生航空事故   死亡273人
1968年5月25日 全国开展“清理阶级队伍”运动
1981年5月25日 海湾合作委员会首脑会议正式宣告诞生
